"","company","avg_duration","avg_budget","avg_box_office_gross_us","avg_box_office_gross_world","avg_imdb_score","avg_rotten_tomatoes_score","avg_metacritic_score","avg_wiki_page_views","avg_wiki_link_count","wiki_link_count","wiki_page_views"
"1","DreamWorks",93.0882352941177,119176470.588235,158150640.5,4.33e+08,6.76470588235294,72.0294117647059,61.6764705882353,41109.1176470588,612.705882352941,2670,106413
"2","Disney",99.6923076923077,157115384.615385,217053846.153846,609507692.307692,7.17692307692308,81.9230769230769,68.6153846153846,84366.5384615385,1110.61538461538,3394,92979
"3","Pixar",100.681818181818,156863636.363636,272897269.681818,658552898,7.63636363636364,88.8636363636364,79.8181818181818,66792.9090909091,1253.72727272727,4762,134272
